Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
RIPK2,1.311594,0.870493,0.759976,0.994267,2.650705,2.255965,2.811877
EYA1,6.321297,1.611336,0.529047,3.170476,7.312433,7.020638,12.662368
NBN,14.668846,3.726193,2.967306,8.173942,14.602703,12.375923,12.782248
TRPA1,0.150284,0.083375,0.117362,0.080503,0.06079,0.045101,0.019604
CPQ,10.681854,4.954589,2.533638,9.550735,12.956698,14.179339,14.377528
DECR1,6.911642,1.975431,2.373788,5.35025,8.319506,8.983209,10.139095
CALB1,1.459448,1.572228,1.075283,1.168691,17.020796,2.774974,6.778423
BPNT2,12.16361,5.421787,2.608507,9.073048,22.615713,19.963623,26.608654
SFRP1,0.089383,0.135813,0.792816,0.177794,0.39177,0.208629,0.67283
LAPTM4B,6.934045,3.54458,1.814026,6.058639,14.39234,20.451164,19.425529
UBE2W,6.750842,2.065433,0.998616,3.838659,6.333364,5.77143,7.23055
POP1,0.954792,0.576498,0.249376,0.88249,0.673899,0.935544,0.845001
NIPAL2,8.924583,3.751621,1.086227,7.273483,9.229763,10.790594,12.276781
IKBKB,3.213544,4.191983,2.912949,3.876221,3.799874,4.167687,4.06533
PLAT,0.965024,3.323407,1.780238,1.650603,6.620942,2.078442,4.026333
JPH1,0.216194,0.111355,0.186787,0.063205,0.248376,0.334847,0.443131
DKK4,0.608828,0.154273,0.108319,0.207262,0.367955,0.781612,1.782025
STK3,4.519021,2.233838,1.184871,3.15357,3.993384,4.791165,5.799177
GDAP1,23.820724,7.868883,3.032506,18.07254,19.119959,21.350338,22.570742
RAB2A,20.016531,10.348047,4.935174,16.985723,23.298342,29.5958,32.47691
EIF3E,71.087654,13.285896,8.653068,38.309608,60.681355,52.615597,61.47287
EMC2,10.052293,2.414193,2.232337,5.803513,7.19973,7.353446,9.133736
ESRP1,7.860775,2.851034,1.38592,6.847837,7.233126,8.071627,12.62426
CCN4,0.284979,0.528716,0.419039,0.420898,1.699111,0.518544,0.724158
NDRG1,9.388746,26.607599,6.245731,12.78686,32.386318,22.455515,24.985605
